c1	5.1	3.5	1.4	0.2	0
c2	4.9	3.0	1.4	0.2	0
c3	4.7	3.2	1.3	0.2	0
c4	4.6	3.1	1.5	0.2	0
c5	5.0	3.6	1.4	0.2	0
c6	5.4	3.9	1.7	0.4	0
c7	4.6	3.4	1.4	0.3	0
c8	5.0	3.4	1.5	0.2	0
c9	4.4	2.9	1.4	0.2	0
c10	4.9	3.1	1.5	0.1	0
c11	5.4	3.7	1.5	0.2	0
c12	4.8	3.4	1.6	0.2	0
c13	4.8	3.0	1.4	0.1	0
c14	4.3	3.0	1.1	0.1	0
c15	5.8	4.0	1.2	0.2	0
c16	5.7	4.4	1.5	0.4	0
c17	5.4	3.9	1.3	0.4	0
c18	5.1	3.5	1.4	0.3	0
c19	5.7	3.8	1.7	0.3	0
c20	5.1	3.8	1.5	0.3	0
c21	5.4	3.4	1.7	0.2	0
c22	5.1	3.7	1.5	0.4	0
c23	4.6	3.6	1.0	0.2	0
c24	5.1	3.3	1.7	0.5	0
c25	4.8	3.4	1.9	0.2	0
c26	5.0	3.0	1.6	0.2	0
c27	5.0	3.4	1.6	0.4	0
c28	5.2	3.5	1.5	0.2	0
c29	5.2	3.4	1.4	0.2	0
c30	4.7	3.2	1.6	0.2	0
c31	4.8	3.1	1.6	0.2	0
c32	5.4	3.4	1.5	0.4	0
c33	5.2	4.1	1.5	0.1	0
c34	5.5	4.2	1.4	0.2	0
c35	4.9	3.1	1.5	0.1	0
c36	5.0	3.2	1.2	0.2	0
c37	5.5	3.5	1.3	0.2	0
c38	4.9	3.1	1.5	0.1	0
c39	4.4	3.0	1.3	0.2	0
c40	5.1	3.4	1.5	0.2	0
c41	5.0	3.5	1.3	0.3	0
c42	4.5	2.3	1.3	0.3	0
c43	4.4	3.2	1.3	0.2	0
c44	5.0	3.5	1.6	0.6	0
c45	5.1	3.8	1.9	0.4	0
c46	4.8	3.0	1.4	0.3	0
c47	5.1	3.8	1.6	0.2	0
c48	4.6	3.2	1.4	0.2	0
c49	5.3	3.7	1.5	0.2	0
c50	5.0	3.3	1.4	0.2	0
c51	7.0	3.2	4.7	1.4	1
c52	6.4	3.2	4.5	1.5	1
c53	6.9	3.1	4.9	1.5	1
c54	5.5	2.3	4.0	1.3	1
c55	6.5	2.8	4.6	1.5	1
c56	5.7	2.8	4.5	1.3	1
c57	6.3	3.3	4.7	1.6	1
c58	4.9	2.4	3.3	1.0	1
c59	6.6	2.9	4.6	1.3	1
c60	5.2	2.7	3.9	1.4	1
c61	5.0	2.0	3.5	1.0	1
c62	5.9	3.0	4.2	1.5	1
c63	6.0	2.2	4.0	1.0	1
c64	6.1	2.9	4.7	1.4	1
c65	5.6	2.9	3.6	1.3	1
c66	6.7	3.1	4.4	1.4	1
c67	5.6	3.0	4.5	1.5	1
c68	5.8	2.7	4.1	1.0	1
c69	6.2	2.2	4.5	1.5	1
c70	5.6	2.5	3.9	1.1	1
c71	5.9	3.2	4.8	1.8	1
c72	6.1	2.8	4.0	1.3	1
c73	6.3	2.5	4.9	1.5	1
c74	6.1	2.8	4.7	1.2	1
c75	6.4	2.9	4.3	1.3	1
c76	6.6	3.0	4.4	1.4	1
c77	6.8	2.8	4.8	1.4	1
c78	6.7	3.0	5.0	1.7	1
c79	6.0	2.9	4.5	1.5	1
c80	5.7	2.6	3.5	1.0	1
c81	5.5	2.4	3.8	1.1	1
c82	5.5	2.4	3.7	1.0	1
c83	5.8	2.7	3.9	1.2	1
c84	6.0	2.7	5.1	1.6	1
c85	5.4	3.0	4.5	1.5	1
c86	6.0	3.4	4.5	1.6	1
c87	6.7	3.1	4.7	1.5	1
c88	6.3	2.3	4.4	1.3	1
c89	5.6	3.0	4.1	1.3	1
c90	5.5	2.5	4.0	1.3	1
c91	5.5	2.6	4.4	1.2	1
c92	6.1	3.0	4.6	1.4	1
c93	5.8	2.6	4.0	1.2	1
c94	5.0	2.3	3.3	1.0	1
c95	5.6	2.7	4.2	1.3	1
c96	5.7	3.0	4.2	1.2	1
c97	5.7	2.9	4.2	1.3	1
c98	6.2	2.9	4.3	1.3	1
c99	5.1	2.5	3.0	1.1	1
c100	5.7	2.8	4.1	1.3	1
